job	n_samples	support_size	beta	treatment_effect	eta_noise_dist	sigma_outcome	n_exp_kept	n_methods	ica_excess_kurtosis	OML.rmse	OML.bias	OML.std	OML.nan	HOML.rmse	HOML.bias	HOML.std	HOML.nan	OML-Est.rmse	OML-Est.bias	OML-Est.std	OML-Est.nan	OML-Split.rmse	OML-Split.bias	OML-Split.std	OML-Split.nan	ICA.rmse	ICA.bias	ICA.std	ICA.nan	OLS.rmse	OLS.bias	OLS.std	OLS.nan	matching.rmse	matching.bias	matching.std	matching.nan
job_0000	500	10	4	1	gennorm_heavy	1.73205	25	7	3	0.109189	-0.101029	0.0414171	0	0.0900134	-0.028192	0.0854847	0	0.106272	-0.0130538	0.105467	0	0.113713	0.00841475	0.113402	0	0.337841	-0.108708	0.319873	0	0.0493538	0.0157796	0.0467633	0	0.121435	0.00954781	0.121059	0
job_0001	1000	10	4	1	gennorm_heavy	1.73205	25	7	3	0.0597045	-0.0569306	0.017987	0	0.10435	-0.0223663	0.101925	0	0.111649	-0.017154	0.110323	0	0.112154	-0.0138058	0.111301	0	0.231525	-0.010293	0.231296	0	0.0226386	0.000992988	0.0226168	0	0.0826904	0.0223953	0.0795999	0
job_0002	2000	10	4	1	gennorm_heavy	1.73205	25	7	3	0.0412088	-0.0336329	0.0238116	0	0.0556012	-0.0114771	0.0544037	0	0.0586442	-0.0121494	0.0573719	0	0.0592937	-0.00735548	0.0588357	0	0.220607	-0.0726346	0.208307	0	0.0229859	-0.00223105	0.0228773	0	0.0508811	0.00171433	0.0508522	0
job_0003	5000	10	4	1	gennorm_heavy	1.73205	25	7	3	0.0204224	-0.014251	0.0146282	0	0.0352696	-0.00140008	0.0352418	0	0.0352901	-0.00110254	0.0352729	0	0.036354	-0.00127369	0.0363317	0	0.105598	-0.00480437	0.105489	0	0.0144295	-6.59779e-06	0.0144295	0	0.0355892	0.023421	0.0267964	0
job_0004	10000	10	4	1	gennorm_heavy	1.73205	25	7	3	0.0103628	-0.00643014	0.0081266	0	0.0250479	0.00316051	0.0248477	0	0.02526	0.00337838	0.025033	0	0.0256082	0.00290506	0.0254429	0	0.0751769	0.0100393	0.0745036	0	0.00840353	0.000484646	0.00838955	0	0.0238232	0.0141536	0.019163	0
job_0005	500	10	4	1	discrete	1.73205	25	7	5.05	0.125636	-0.119533	0.0386827	0	0.0723304	-0.00956483	0.0716952	0	0.0811711	0.00403301	0.0810708	0	0.0865232	0.0175499	0.0847246	0	0.371956	-0.0140629	0.37169	0	0.048599	-0.0115096	0.0472164	0	0.138803	-0.0236472	0.136774	0
job_0006	1000	10	4	1	discrete	1.73205	25	7	5.05	0.065302	-0.0569079	0.0320288	0	0.0646612	0.00249849	0.0646129	0	0.0646851	0.00493911	0.0644963	0	0.0676306	0.00716042	0.0672504	0	0.229287	-0.0497327	0.223829	0	0.028628	0.00513271	0.0281641	0	0.0854653	0.0451482	0.0725669	0
job_0007	2000	10	4	1	discrete	1.73205	25	7	5.05	0.0425253	-0.0355907	0.0232745	0	0.0368648	-0.00482559	0.0365476	0	0.0366346	-0.00344549	0.0364722	0	0.0379817	-0.00434629	0.0377322	0	0.152878	-0.0273374	0.150414	0	0.0261094	-0.00220429	0.0260162	0	0.0484826	-0.00131473	0.0484648	0
job_0008	5000	10	4	1	discrete	1.73205	25	7	5.05	0.0193129	-0.0139555	0.0133503	0	0.0191381	-0.00304065	0.018895	0	0.0191576	-0.00315439	0.0188961	0	0.0194382	-0.00271793	0.0192473	0	0.0706978	0.00767764	0.0702796	0	0.0130602	0.000233614	0.0130581	0	0.0327857	0.0147125	0.0292992	0
job_0009	10000	10	4	1	discrete	1.73205	25	7	5.05	0.0113384	-0.00595363	0.00964949	0	0.0140528	0.000541024	0.0140424	0	0.0141383	0.000559514	0.0141272	0	0.0142023	0.000558689	0.0141913	0	0.0595568	0.0064164	0.0592101	0	0.00974663	0.00089002	0.00970591	0	0.0255908	0.0185051	0.0176762	0
job_0010	500	10	4	1	rademacher	1.73205	25	7	-2	0.106751	-0.0998072	0.0378712	0	0.243602	0.175979	0.168444	0	0.0844513	0.0338381	0.0773757	0	0.0658026	-0.00275509	0.0657449	0	0.247483	0.0265946	0.24605	0	0.0368558	-0.00276258	0.0367521	0	0.124061	0.0241852	0.121681	0
job_0011	1000	10	4	1	rademacher	1.73205	25	7	-2	0.0654971	-0.0606647	0.0246913	0	0.0373246	0.0112813	0.0355789	0	0.0322964	-0.00225633	0.0322175	0	0.0311902	-0.00443278	0.0308736	0	0.168011	-0.0433676	0.162317	0	0.0288127	-0.000592774	0.0288066	0	0.0939747	0.0335617	0.0877773	0
job_0012	2000	10	4	1	rademacher	1.73205	25	7	-2	0.0354135	-0.0267577	0.0231979	0	0.0237308	0.0097759	0.0216236	0	0.0226099	0.0065849	0.0216298	0	0.0227736	0.0058873	0.0219995	0	0.143394	0.00823365	0.143157	0	0.0240343	0.0068382	0.023041	0	0.0703695	0.0281443	0.0644963	0
job_0013	5000	10	4	1	rademacher	1.73205	25	7	-2	0.0199687	-0.0152278	0.0129177	0	0.0129614	-4.24258e-05	0.0129613	0	0.0129976	-0.000435872	0.0129903	0	0.0129797	-0.000797419	0.0129552	0	0.068995	0.0230894	0.0650169	0	0.0130922	-0.00169293	0.0129823	0	0.0323204	0.0156228	0.0282937	0
job_0014	10000	10	4	1	rademacher	1.73205	25	7	-2	0.0103405	-0.00439806	0.00935859	0	0.00977798	0.00276103	0.00938007	0	0.00977134	0.00272847	0.00938267	0	0.00971267	0.00252064	0.00937989	0	0.0510937	0.0169202	0.0482107	0	0.00949923	0.00234416	0.00920545	0	0.0258067	0.0154397	0.0206785	0
job_0015	500	10	4	1	uniform	1.73205	25	7	-1.2	0.103676	-0.0975054	0.0352337	0	28.1044	1.55384	28.0614	0	0.186819	0.0680311	0.173992	0	0.0908498	-0.000495958	0.0908484	0	0.599723	0.0196843	0.5994	0	0.0385651	0.0104266	0.0371289	0	0.144615	0.0518193	0.135012	0
job_0016	1000	10	4	1	uniform	1.73205	25	7	-1.2	0.0650911	-0.0601217	0.0249446	0	0.079876	0.0527248	0.0600023	0	0.0510106	0.0192223	0.0472502	0	0.0420549	0.00881811	0.04112	0	0.195192	0.00643666	0.195085	0	0.0282003	-0.00252619	0.0280869	0	0.0934227	0.0165365	0.0919475	0
job_0017	2000	10	4	1	uniform	1.73205	25	7	-1.2	0.0492352	-0.0428686	0.0242156	0	0.0407381	-0.00404887	0.0405364	0	0.0390027	-0.00933771	0.0378684	0	0.0385809	-0.011634	0.036785	0	0.183449	-0.0510395	0.176206	0	0.0256274	-0.0106133	0.0233264	0	0.0664525	0.0221919	0.0626375	0
job_0018	5000	10	4	1	uniform	1.73205	25	7	-1.2	0.0179339	-0.0113156	0.0139134	0	0.0162746	0.00295062	0.0160049	0	0.0154602	0.00185646	0.0153483	0	0.0156275	0.00166168	0.015539	0	0.0890266	-0.0364539	0.081221	0	0.0145798	0.00254676	0.0143556	0	0.0368784	0.0195012	0.0313004	0
job_0019	10000	10	4	1	uniform	1.73205	25	7	-1.2	0.0126414	-0.00928133	0.00858265	0	0.0128155	-0.00457395	0.0119715	0	0.0127998	-0.0048983	0.0118255	0	0.0125378	-0.0047025	0.0116225	0	0.0519485	-0.01441	0.0499099	0	0.00877565	-0.00207721	0.00852627	0	0.0254636	0.0150094	0.0205697	0
job_0020	500	10	4	1	gennorm_light	1.73205	25	7	-0.81156	0.120814	-0.114905	0.0373207	0	5.67005	-0.59795	5.63843	0	2.10806	0.0278325	2.10788	0	0.22981	-0.0090555	0.229631	0	0.714093	0.375828	0.607192	0	0.0394552	0.00590376	0.039011	0	0.11334	0.0463849	0.103414	0
job_0021	1000	10	4	1	gennorm_light	1.73205	25	7	-0.81156	0.0643938	-0.0560043	0.0317816	0	0.28449	0.148263	0.242801	0	0.110262	0.0238476	0.107652	0	0.0906192	0.00725639	0.0903282	0	0.235973	-0.00953254	0.23578	0	0.0357431	0.00421408	0.0354939	0	0.0759734	0.0254217	0.071594	0
job_0022	2000	10	4	1	gennorm_light	1.73205	25	7	-0.81156	0.0322692	-0.0274014	0.017043	0	0.047121	0.012089	0.0455439	0	0.0374743	0.00416577	0.037242	0	0.0349157	0.00113979	0.0348971	0	0.183164	-0.021224	0.18193	0	0.0180267	0.00392047	0.0175952	0	0.0612628	0.00279184	0.0611991	0
job_0023	5000	10	4	1	gennorm_light	1.73205	25	7	-0.81156	0.01688	-0.00989359	0.0136766	0	0.0452449	0.00403987	0.0450641	0	0.0415097	0.00224924	0.0414487	0	0.0410041	0.00285457	0.0409046	0	0.115479	-0.00530747	0.115357	0	0.0143227	0.00380095	0.0138092	0	0.0319161	0.0149932	0.0281752	0
job_0024	10000	10	4	1	gennorm_light	1.73205	25	7	-0.81156	0.010418	-0.00807261	0.00658549	0	0.0210441	0.00774076	0.0195687	0	0.0200171	0.00703923	0.0187385	0	0.0197529	0.00651606	0.0186472	0	0.0762484	0.0230302	0.0726872	0	0.00662692	-0.00119049	0.00651911	0	0.0202801	0.0101187	0.0175754	0
