job	done	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n500	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n1000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n2000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n5000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_heavy_n10000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n500	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n1000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n2000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n5000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_n10000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_rademacher_n500	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_rademacher_n1000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_rademacher_n2000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_rademacher_n5000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_rademacher_n10000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_uniform_n500	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_uniform_n1000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_uniform_n2000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_uniform_n5000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_uniform_n10000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_light_n500	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_light_n1000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_light_n2000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_light_n5000	all_results_n_exp_25_gennorm_sigma_outcome_1.7320508075688772_eta_gennorm_light_n10000
job_0000	True	shape=(1,)																								
job_0001	True		shape=(1,)																							
job_0002	True			shape=(1,)																						
job_0003	True				shape=(1,)																					
job_0004	True					shape=(1,)																				
job_0005	True						shape=(1,)																			
job_0006	True							shape=(1,)																		
job_0007	True								shape=(1,)																	
job_0008	True									shape=(1,)																
job_0009	True										shape=(1,)															
job_0010	True											shape=(1,)														
job_0011	True												shape=(1,)													
job_0012	True													shape=(1,)												
job_0013	True														shape=(1,)											
job_0014	True															shape=(1,)										
job_0015	True																shape=(1,)									
job_0016	True																	shape=(1,)								
job_0017	True																		shape=(1,)							
job_0018	True																			shape=(1,)						
job_0019	True																				shape=(1,)					
job_0020	True																					shape=(1,)				
job_0021	True																						shape=(1,)			
job_0022	True																							shape=(1,)		
job_0023	True																								shape=(1,)	
job_0024	True																									shape=(1,)
