job	n_samples	support_size	beta	treatment_effect	eta_noise_dist	cov_dim_max	oracle	sigma_outcome	n_exp_kept	n_methods	ica_excess_kurtosis	OML.rmse	OML.bias	OML.std	OML.nan	HOML.rmse	HOML.bias	HOML.std	HOML.nan	OML-Est.rmse	OML-Est.bias	OML-Est.std	OML-Est.nan	OML-Split.rmse	OML-Split.bias	OML-Split.std	OML-Split.nan	ICA.rmse	ICA.bias	ICA.std	ICA.nan	OLS.rmse	OLS.bias	OLS.std	OLS.nan	matching.rmse	matching.bias	matching.std	matching.nan
job_0000	500	10	4	1	gennorm_heavy	50	oracle	1.73205	25	7	3	0.109189	-0.101029	0.0414171	0	0.0900134	-0.028192	0.0854847	0	0.106272	-0.0130538	0.105467	0	0.113713	0.00841475	0.113402	0	0.337841	-0.108708	0.319873	0	0.0493538	0.0157796	0.0467633	0	0.121435	0.00954781	0.121059	0
job_0001	500	10	4	1	gennorm_heavy	50	no_oracle	1.73205	25	7	3	0.110963	-0.103107	0.0410084	0	0.091345	-0.0305668	0.0860789	0	0.106536	-0.0167873	0.105205	0	0.115773	0.00600193	0.115617	0	1.70878	-0.713586	1.55265	0	0.0507266	0.0137992	0.0488136	0	0.201394	0.133394	0.150882	0
job_0002	1000	10	4	1	gennorm_heavy	50	oracle	1.73205	25	7	3	0.0597045	-0.0569306	0.017987	0	0.10435	-0.0223663	0.101925	0	0.111649	-0.017154	0.110323	0	0.112154	-0.0138058	0.111301	0	0.231525	-0.010293	0.231296	0	0.0226386	0.000992988	0.0226168	0	0.0826904	0.0223953	0.0795999	0
job_0003	1000	10	4	1	gennorm_heavy	50	no_oracle	1.73205	25	7	3	0.0597865	-0.0570851	0.0177685	0	0.103113	-0.0224972	0.100629	0	0.110039	-0.0178412	0.108584	0	0.110313	-0.0141664	0.1094	0	2.1182	0.210941	2.10767	0	0.0213896	0.00108255	0.0213622	0	0.176383	0.117902	0.131187	0
job_0004	2000	10	4	1	gennorm_heavy	50	oracle	1.73205	25	7	3	0.0412088	-0.0336329	0.0238116	0	0.0556012	-0.0114771	0.0544037	0	0.0586442	-0.0121494	0.0573719	0	0.0592937	-0.00735548	0.0588357	0	0.220607	-0.0726346	0.208307	0	0.0229859	-0.00223105	0.0228773	0	0.0508811	0.00171433	0.0508522	0
job_0005	2000	10	4	1	gennorm_heavy	50	no_oracle	1.73205	25	7	3	0.0410461	-0.0334389	0.0238038	0	0.0556538	-0.0113051	0.0544935	0	0.0586007	-0.0120296	0.0573527	0	0.0592806	-0.00712897	0.0588504	0	0.417062	-0.124703	0.397983	0	0.0224436	-0.00188483	0.0223643	0	0.11015	0.087186	0.0673179	0
job_0006	5000	10	4	1	gennorm_heavy	50	oracle	1.73205	25	7	3	0.0204224	-0.014251	0.0146282	0	0.0352696	-0.00140008	0.0352418	0	0.0352901	-0.00110254	0.0352729	0	0.036354	-0.00127369	0.0363317	0	0.105598	-0.00480437	0.105489	0	0.0144295	-6.59779e-06	0.0144295	0	0.0355892	0.023421	0.0267964	0
job_0007	5000	10	4	1	gennorm_heavy	50	no_oracle	1.73205	25	7	3	0.0205108	-0.0143365	0.0146682	0	0.0351734	-0.00159177	0.0351374	0	0.0351893	-0.00129416	0.0351655	0	0.0362409	-0.00147538	0.0362109	0	0.107677	-0.00498381	0.107562	0	0.0140469	-0.000373412	0.014042	0	0.0959728	0.0810593	0.0513827	0
job_0008	10000	10	4	1	gennorm_heavy	50	oracle	1.73205	25	7	3	0.0103628	-0.00643014	0.0081266	0	0.0250479	0.00316051	0.0248477	0	0.02526	0.00337838	0.025033	0	0.0256082	0.00290506	0.0254429	0	0.0751769	0.0100393	0.0745036	0	0.00840353	0.000484646	0.00838955	0	0.0238232	0.0141536	0.019163	0
job_0009	10000	10	4	1	gennorm_heavy	50	no_oracle	1.73205	25	7	3	0.0103542	-0.00641655	0.00812639	0	0.025097	0.00323014	0.0248882	0	0.025308	0.00344709	0.0250721	0	0.0256596	0.00297584	0.0254865	0	0.0769475	0.0118476	0.0760299	0	0.00851866	0.000582715	0.00849871	0	0.0934733	0.0849536	0.0389891	0
job_0010	500	10	4	1	discrete	50	oracle	1.73205	25	7	5.05	0.125636	-0.119533	0.0386827	0	0.0723304	-0.00956483	0.0716952	0	0.0811711	0.00403301	0.0810708	0	0.0865232	0.0175499	0.0847246	0	0.371956	-0.0140629	0.37169	0	0.048599	-0.0115096	0.0472164	0	0.138803	-0.0236472	0.136774	0
job_0011	500	10	4	1	discrete	50	no_oracle	1.73205	25	7	5.05	0.12431	-0.117989	0.0391329	0	0.0712532	-0.00861168	0.0707309	0	0.0798191	0.00426296	0.0797052	0	0.0854963	0.0189099	0.0833788	0	1.07862	0.289662	1.039	0	0.0478383	-0.0124064	0.0462016	0	0.177297	0.0837276	0.156282	0
job_0012	1000	10	4	1	discrete	50	oracle	1.73205	25	7	5.05	0.065302	-0.0569079	0.0320288	0	0.0646612	0.00249849	0.0646129	0	0.0646851	0.00493911	0.0644963	0	0.0676306	0.00716042	0.0672504	0	0.229287	-0.0497327	0.223829	0	0.028628	0.00513271	0.0281641	0	0.0854653	0.0451482	0.0725669	0
job_0013	1000	10	4	1	discrete	50	no_oracle	1.73205	25	7	5.05	0.0647777	-0.0560021	0.0325564	0	0.0649988	0.00484229	0.0648182	0	0.0651041	0.00735363	0.0646875	0	0.0681037	0.00969414	0.0674102	0	0.348201	-0.0897114	0.336446	0	0.0302167	0.00682302	0.0294362	0	0.14932	0.0785499	0.12699	0
job_0014	2000	10	4	1	discrete	50	oracle	1.73205	25	7	5.05	0.0425253	-0.0355907	0.0232745	0	0.0368648	-0.00482559	0.0365476	0	0.0366346	-0.00344549	0.0364722	0	0.0379817	-0.00434629	0.0377322	0	0.152878	-0.0273374	0.150414	0	0.0261094	-0.00220429	0.0260162	0	0.0484826	-0.00131473	0.0484648	0
job_0015	2000	10	4	1	discrete	50	no_oracle	1.73205	25	7	5.05	0.0426678	-0.0355705	0.0235644	0	0.0367828	-0.00501284	0.0364396	0	0.036572	-0.00365512	0.0363889	0	0.0378928	-0.00457554	0.0376155	0	0.196149	-0.0485833	0.190038	0	0.0252386	-0.00241772	0.0251225	0	0.125601	0.0992449	0.0769807	0
job_0016	5000	10	4	1	discrete	50	oracle	1.73205	25	7	5.05	0.0193129	-0.0139555	0.0133503	0	0.0191381	-0.00304065	0.018895	0	0.0191576	-0.00315439	0.0188961	0	0.0194382	-0.00271793	0.0192473	0	0.0706978	0.00767764	0.0702796	0	0.0130602	0.000233614	0.0130581	0	0.0327857	0.0147125	0.0292992	0
job_0017	5000	10	4	1	discrete	50	no_oracle	1.73205	25	7	5.05	0.0194046	-0.0140241	0.0134113	0	0.0191942	-0.00318157	0.0189287	0	0.01921	-0.00329378	0.0189255	0	0.0194908	-0.00286514	0.019279	0	0.0765497	0.00853329	0.0760726	0	0.0134487	0.000653958	0.0134328	0	0.105796	0.0943218	0.0479176	0
job_0018	10000	10	4	1	discrete	50	oracle	1.73205	25	7	5.05	0.0113384	-0.00595363	0.00964949	0	0.0140528	0.000541024	0.0140424	0	0.0141383	0.000559514	0.0141272	0	0.0142023	0.000558689	0.0141913	0	0.0595568	0.0064164	0.0592101	0	0.00974663	0.00089002	0.00970591	0	0.0255908	0.0185051	0.0176762	0
job_0019	10000	10	4	1	discrete	50	no_oracle	1.73205	25	7	5.05	0.0113477	-0.00593245	0.00967354	0	0.0141429	0.000647414	0.0141281	0	0.0142238	0.000665922	0.0142082	0	0.0142956	0.000664983	0.0142802	0	0.0596677	0.00430869	0.0595119	0	0.0098907	0.000906982	0.00984903	0	0.0813728	0.072441	0.0370654	0
