job	n_samples	n_covariates	support_size	nuisance	nonlinear	heavy_tail_eta	eta_beta	hetero_eps	treatment_effect	n_exp_kept	n_attempted	Ortho ML.rmse	Ortho ML.bias	Ortho ML.std	Ortho ML.finite	Robust Ortho ML.rmse	Robust Ortho ML.bias	Robust Ortho ML.std	Robust Ortho ML.finite	Robust Ortho Est.rmse	Robust Ortho Est.bias	Robust Ortho Est.std	Robust Ortho Est.finite	Robust Ortho Split.rmse	Robust Ortho Split.bias	Robust Ortho Split.std	Robust Ortho Split.finite	ICA.rmse	ICA.bias	ICA.std	ICA.finite	OLS.rmse	OLS.bias	OLS.std	OLS.finite	Matching.rmse	Matching.bias	Matching.std	Matching.finite
job_0000	2000	10	5	linear	True	True	0.5	False	1.5	25	25	0.413746	0.0641546	0.408742	25	0.399249	0.0214093	0.398674	25	0.413184	0.00166798	0.413181	25	0.417552	0.0022341	0.417546	25	0.547761	0.0889262	0.540494	25	0.4113	0.0635579	0.406359	25	0.338887	0.0545635	0.334466	25
job_0001	2000	10	5	gbm	True	True	0.5	False	1.5	25	25	0.179095	-0.15135	0.0957499	25	0.177531	-0.0639249	0.165622	25	0.173439	-0.0734031	0.15714	25	0.18587	-0.0491773	0.179246	25	0.547761	0.0889262	0.540494	25	0.4113	0.0635579	0.406359	25	0.338887	0.0545635	0.334466	25
job_0002	10000	10	5	linear	True	True	0.5	False	1.5	25	25	0.417514	0.062435	0.412819	25	0.425022	0.0190878	0.424593	25	0.446367	-0.00352018	0.446353	25	0.446632	-0.00325192	0.446621	25	0.570533	0.0374936	0.569299	25	0.417447	0.0621341	0.412797	25	0.320442	0.0455919	0.317182	25
job_0003	10000	10	5	gbm	True	True	0.5	False	1.5	25	25	0.135963	-0.124936	0.0536373	25	0.106105	-0.027051	0.102598	25	0.105389	-0.0321354	0.10037	25	0.108089	-0.0209309	0.106043	25	0.570533	0.0374936	0.569299	25	0.417447	0.0621341	0.412797	25	0.320442	0.0455919	0.317182	25
job_0004	2000	10	5	linear	True	True	1	False	1.5	25	25	0.420032	0.064536	0.415045	25	0.422182	0.0298521	0.421125	25	0.440965	0.0102828	0.440845	25	0.445132	0.0110152	0.444996	25	0.530373	0.0500226	0.528009	25	0.418132	0.0656148	0.412952	25	0.346523	0.059528	0.341372	25
job_0005	2000	10	5	gbm	True	True	1	False	1.5	25	25	0.17534	-0.148802	0.0927479	25	0.271021	-0.123687	0.241152	25	0.252457	-0.131711	0.215376	25	0.307576	-0.112364	0.286317	25	0.530373	0.0500226	0.528009	25	0.418132	0.0656148	0.412952	25	0.346523	0.059528	0.341372	25
job_0006	10000	10	5	linear	True	True	1	False	1.5	25	25	0.417945	0.0622424	0.413284	25	0.459587	0.0288206	0.458683	25	0.494905	0.00728351	0.494852	25	0.495706	0.00761678	0.495648	25	0.587503	0.0364404	0.586372	25	0.41804	0.0621902	0.413388	25	0.32342	0.0470723	0.319977	25
job_0007	10000	10	5	gbm	True	True	1	False	1.5	25	25	0.132446	-0.124626	0.0448368	25	0.272195	-0.128112	0.240161	25	0.251008	-0.126052	0.217062	25	0.309177	-0.132148	0.279512	25	0.587503	0.0364404	0.586372	25	0.41804	0.0621902	0.413388	25	0.32342	0.0470723	0.319977	25
job_0008	2000	10	5	linear	True	True	2	False	1.5	25	25	0.42058	0.064103	0.415666	25	0.435736	0.0362529	0.434226	25	0.458403	0.0204314	0.457948	25	0.461868	0.0213996	0.461372	25	0.534504	0.00560791	0.534474	25	0.418082	0.0630474	0.413301	25	0.348007	0.0536367	0.343849	25
job_0009	2000	10	5	gbm	True	True	2	False	1.5	25	25	0.178042	-0.151695	0.0932061	25	0.302611	-0.145747	0.2652	25	0.271142	-0.145538	0.228772	25	0.382899	-0.149922	0.352328	25	0.541465	-0.00662387	0.541424	25	0.418082	0.0630474	0.413301	25	0.348007	0.0536367	0.343849	25
job_0010	10000	10	5	linear	True	True	2	False	1.5	25	25	0.416709	0.0619979	0.412072	25	0.463267	0.0278735	0.462427	25	0.501897	0.00560643	0.501866	25	0.502479	0.00607731	0.502442	25	0.566996	0.0328258	0.566045	25	0.416728	0.0618823	0.412108	25	0.319069	0.0465779	0.315651	25
job_0011	10000	10	5	gbm	True	True	2	False	1.5	25	25	0.124962	-0.115393	0.0479587	25	0.403089	-0.153444	0.372741	25	0.339713	-0.141647	0.308773	25	0.558349	-0.187887	0.525788	25	0.563593	0.0329603	0.562629	25	0.416728	0.0618823	0.412108	25	0.319069	0.0465779	0.315651	25
job_0012	2000	10	5	linear	True	True	4	False	1.5	25	25	0.41924	0.0676492	0.413746	25	0.439352	0.0368497	0.437804	25	0.467712	0.0179192	0.467369	25	0.472284	0.018276	0.47193	25	0.526276	0.0112971	0.526155	25	0.416987	0.0675159	0.411485	25	0.348541	0.0587852	0.343548	25
job_0013	2000	10	5	gbm	True	True	4	False	1.5	25	25	0.168015	-0.136001	0.0986554	25	0.321231	-0.149958	0.284081	25	0.272623	-0.154005	0.224957	25	1.16084	0.0164658	1.16072	25	0.526276	0.0112971	0.526155	25	0.416987	0.0675159	0.411485	25	0.348541	0.0587852	0.343548	25
job_0014	10000	10	5	linear	True	True	4	False	1.5	25	25	0.415843	0.0625138	0.411117	25	0.463625	0.0335309	0.462411	25	0.504716	0.0144894	0.504508	25	0.505682	0.014916	0.505462	25	0.588947	0.0768668	0.58391	25	0.415887	0.0623161	0.411192	25	0.320042	0.0470541	0.316564	25
job_0015	10000	10	5	gbm	True	True	4	False	1.5	25	25	0.126659	-0.11677	0.0490624	25	0.872288	-0.0177648	0.872107	25	0.419372	-0.130103	0.398681	25	1.67171	-0.465921	1.60547	25	0.587693	0.0785102	0.582425	25	0.415887	0.0623161	0.411192	25	0.320042	0.0470541	0.316564	25
